Instance,FCFS,SJF,SJF-P,RR
436,0.0,0.0,21.627794134645868,23.862944557184374
437,0.0,0,0.0,11.312127592988327
438,25.19319418021398,0.0,44.228490406040734,18.59279273401081
439,0.29293051135332016,25.764707650189926,42.159561876681806,22.93595444684933
440,0,6.2179832643721324,35.34416582128012,19.542257647334594
441,0.0,18.130651435131693,48.552711666590326,26.56681282752669
442,0.0,29.141860493103696,37.83512488546845,14.19275604495277
443,34.692819966060576,21.922643144250895,0.0,21.84228431958652
444,0.0,12.337637129142044,63.60416787073094,37.83634231396132
445,0.0,25.654667164074258,0,17.60271472464572
446,3.1106111678993065,22.48638188809247,29.872126260485025,36.126409993118784
447,0.0,32.53243761694527,45.556608841936935,17.142438875088782
448,0.0,48.51262536258039,19.17041878778613,30.0319877955867
449,4.281547334949149,11.143945622136759,59.39628978805419,19.03577789505693
450,0.0,15.759176885471131,0,25.175521340568046
451,0.0,0,45.034109255178,20.072382784722016
452,0.0,14.506323183848059,0.0,21.609824307568772
453,0.0,0,0.0,28.02601052760422
454,0.0,0,44.85331132643852,47.593440489515366
455,0.0,39.681758187442526,0,22.621830608156273
456,0.0,7.118717980932586,0.0,24.96100986468601
457,3.839403701470326,10.282520216420268,71.8557795239227,19.986600295720123
458,0,29.58774780547615,24.725894881185802,27.214808222055343
459,24.036265866180464,18.84131895809997,0.0,26.27286637579983
460,0.0,12.872988884958165,0.0,15.195178555881949
461,0.0,22.533764959858438,34.54325804208421,21.372948889386194
462,37.42985785549494,14.964780720850968,40.10106834776666,25.399390389445145
463,0.0,10.389858453376373,48.4906968380802,24.862165247252864
464,15.35106469562765,33.6929242927156,45.15662253685054,43.9578719476152
465,45.58910697853548,20.961569310918925,25.15435111927812,23.426344617586587
466,0.0,50.27563185708027,36.02515504015079,0.0
467,21.292587352780682,12.044377638555952,0.0,24.503691238639092
468,0,0.5510414366962286,0,31.048314179394616
469,32.5852458884215,20.558367056748335,30.86996806087478,28.500276956588454
470,0,14.585977282909356,30.803979594315603,32.72516576416708
471,35.46373314444389,23.05824762491304,40.835772926583196,24.07153861908648
472,13.395470851268868,42.250284496376295,35.81334324171573,38.46549746674204
473,41.99788895669628,0,44.44017575521415,22.292922320147213
474,38.17373421270209,12.886836917449903,35.8942175205425,17.31767453858033
475,42.140074194345964,9.469470785470078,32.43385450590609,16.684338841024154
476,0.0,0,0.0,17.462218278871
477,0.0,16.81705428147196,48.83188610856285,48.66446108510929
